email_id,customer_id,subject,email_body,timestamp,category,order_id
EMAIL00463,CUST0113,I need to return an item,"Hi, I received the Harbor Training Shoe from order ORD00439, but it does not fit my needs. Please send the return instructions. Please reply today. I hope this can be resolved soon. Kind regards, Avery Cove.",2026-05-04 15:26,Return/Refund,ORD00439
EMAIL01513,CUST0181,Poor experience,"I have tried to get help with ORD00358 twice. Still no answer. Really disappointed with the service. Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Avery Hollow.",2026-02-15 15:30,Complaint,ORD00358
EMAIL01967,CUST0003,Exchange request,"I would like to exchange the Pioneer Rain Jacket from order ORD01052 for a different size or color. Please tell me the next steps. Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Rowan Cove.",2026-05-24 11:42,Exchange,ORD01052
EMAIL01410,CUST0280,Is this in stock?,"Do you still have the Coast Travel Backpack available? I am looking for one as a gift. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Jordan Fern.",2026-06-19 10:37,Product Information,
EMAIL02090,CUST0027,Can you replace this?,"Hi, the Solace Air Fryer from ORD00116 is the wrong size. How can I swap it for the correct one? Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Jamie Lark.",2026-02-19 19:27,Exchange,ORD00116
EMAIL00226,CUST0237,Tracking update needed,"Could you check the delivery status of ORD00164? The tracking has not changed and I am starting to worry. Please reply before the weekend. I hope this can be resolved soon. Kind regards, Jamie Ivy.",2026-07-02 15:47,Order Status,ORD00164
EMAIL00341,CUST0290,Refund status,"I returned order ORD00043 and have not received my refund. Can someone check the status for me? Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Casey Hollow.",2026-02-08 15:54,Return/Refund,ORD00043
EMAIL01080,CUST0292,Checkout error,"Hi, my payment keeps failing when I try to buy the Atlas Denim Jacket. The card works everywhere else. Please reply when you can. I hope this can be resolved soon. Kind regards, Skyler Juniper.",2026-05-14 15:26,Payment Issue,ORD00864
EMAIL00523,CUST0049,Return request,"The Solace Daily Runner arrived damaged. I would like to return it and receive a refund for ORD01164. Please reply when you can. A quick reply would be appreciated. Kind regards, Jamie Hollow.",2026-03-20 09:23,Return/Refund,ORD01164
EMAIL01226,CUST0155,Question about Coast Trail Runner,"Hey, could you tell me more about the Coast Trail Runner? I need the size, material, and care details before ordering. Please reply when you can. I hope this can be resolved soon. Kind regards, Quinn Ember.",2026-07-23 20:53,Product Information,
EMAIL00717,CUST0151,Cancel order,"I no longer need the Harbor Insulated Bottle. Can you cancel ORD01111 and refund the payment? Please reply today. Sorry if I missed this information somewhere. Kind regards, Quinn Hollow.",2026-05-31 18:50,Cancellation,ORD01111
EMAIL00619,CUST0236,Cancel order,"I no longer need the Coast Travel Backpack. Can you cancel ORD00449 and refund the payment? Please reply this week. Please let me know what you need from me. Kind regards, Riley Ivy.",2026-04-20 09:43,Cancellation,ORD00449
EMAIL02096,CUST0265,Wrong item size,"The item in order ORD00610 does not fit. I do not need a refund; I would prefer an exchange if possible. Please reply as soon as possible. Please let me know what you need from me. Kind regards, Casey Ivy.",2026-06-06 12:43,Exchange,ORD00610
EMAIL01210,CUST0150,Question about Echo Walking Shoe,"Hey, could you tell me more about the Echo Walking Shoe? I need the size, material, and care details before ordering. Please reply before the weekend. I hope this can be resolved soon. Kind regards, Riley Lark.",2026-02-01 14:36,Product Information,
EMAIL01899,CUST0107,Need a different size,"Hi, I received the Lumen Cast Iron Pan from order ORD01146, but the size is wrong. Can I exchange it for a smaller size? Please reply today. Please let me know what you need from me. Kind regards, Quinn Dale.",2026-05-13 14:27,Exchange,ORD01146
EMAIL00615,CUST0045,Cancel order,"I no longer need the Ember Bamboo Organizer. Can you cancel ORD00213 and refund the payment? Please reply before the weekend. A quick reply would be appreciated. Kind regards, Taylor Cove.",2026-06-04 15:02,Cancellation,ORD00213
EMAIL00500,CUST0106,I need to return an item,"Dear support team, I received the Echo Gentle Cleanser from order ORD00152, but it does not fit my needs. Please send the return instructions. Please reply this week. I checked the help page but could not find a clear answer. Kind regards, Quinn Ivy.",2026-05-01 15:06,Return/Refund,ORD00152
EMAIL01063,CUST0300,Payment problem,"My card payment for ORD00296 is still pending in my bank app. Did the order go through? Please reply today. I hope this can be resolved soon. Kind regards, Jamie Hollow.",2026-08-07 08:48,Payment Issue,ORD00296
EMAIL01501,CUST0131,Very disappointed,"Hi, I am unhappy with order ORD00813. The Nimbus Electric Kettle was not as described and this has been frustrating. Please reply when you can. A quick reply would be appreciated. Kind regards, Skyler Juniper.",2026-08-25 12:05,Complaint,ORD00813
EMAIL01907,CUST0177,Exchange request,"I would like to exchange the Terra Hydrating Serum from order ORD00174 for a different size or color. Please tell me the next steps. Please reply as soon as possible. Sorry if I missed this information somewhere. Kind regards, Quinn Ivy.",2026-04-21 17:35,Exchange,ORD00174
EMAIL01020,CUST0162,Checkout error,"Hi, my payment keeps failing when I try to buy the Atlas Denim Jacket. The card works everywhere else. Please reply today. Sorry if I missed this information somewhere. Kind regards, Jamie Juniper.",2026-01-08 09:05,Payment Issue,ORD01124
EMAIL01126,CUST0265,I was charged twice,"I can see two charges for order ORD00529, but I only placed one order. Please look into this. Please reply today. I hope this can be resolved soon. Kind regards, Casey Ivy.",2026-02-05 10:46,Payment Issue,ORD00529
EMAIL01092,CUST0015,I was charged twice,"I can see two charges for order ORD00924, but I only placed one order. Please look into this. Please reply today. I checked the help page but could not find a clear answer. Kind regards, Riley Ivy.",2026-04-29 20:32,Payment Issue,ORD00924
EMAIL01653,CUST0030,Very disappointed,"Dear support team, I am unhappy with order ORD00631. The Ember Coffee Grinder was not as described and this has been frustrating. Please reply as soon as possible. Sorry if I missed this information somewhere. Kind regards, Taylor Cove.",2026-07-20 20:23,Complaint,ORD00631
EMAIL02234,CUST0187,Discount code question,"Do you have a student discount or a promo code I can use for the Nimbus Night Cream? Please reply today. I checked the help page but could not find a clear answer. Kind regards, Skyler Fern.",2026-01-28 08:30,Other,ORD00803
EMAIL02153,CUST0010,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Taylor Grove.",2026-03-10 19:17,Other,ORD01048
EMAIL00850,CUST0087,Please cancel my order,"Hello, please cancel order ORD01049 before it ships. I made this purchase by mistake. Please reply this week. Sorry if I missed this information somewhere. Kind regards, Taylor Hollow.",2026-06-03 14:58,Cancellation,ORD01049
EMAIL00033,CUST0056,Tracking update needed,"Could you check the delivery status of ORD00550? The tracking has not changed and I am starting to worry. Please reply today. I checked the help page but could not find a clear answer. Kind regards, Avery Dale.",2026-08-09 10:49,Order Status,ORD00550
EMAIL00070,CUST0112,Where is my order?,"Hi, I placed order ORD01041 a few days ago and it still says cancelled. Can you tell me when it will arrive? Please help, Jamie Ivy Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Jamie Ivy.",2026-05-02 11:03,Order Status,ORD01041
EMAIL01722,CUST0166,Poor experience,"I have tried to get help with ORD00785 twice. Still no answer. Really disappointed with the service. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Skyler Juniper.",2026-04-01 17:31,Complaint,ORD00785
EMAIL00879,CUST0267,Cancel order,"I no longer need the Sage Denim Jacket. Can you cancel ORD01069 and refund the payment? Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Jordan Lark.",2026-06-10 16:32,Cancellation,ORD01069
EMAIL00154,CUST0295,Tracking update needed,"Could you check the delivery status of ORD00392? The tracking has not changed and I am starting to worry. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Morgan Hollow.",2026-02-05 16:28,Order Status,ORD00392
EMAIL00278,CUST0034,Where is my order?,"Dear support team, I placed order ORD00964 a few days ago and it still says out for delivery. Can you tell me when it will arrive? Thank you, Jordan Juniper Please reply before the weekend. I hope this can be resolved soon. Kind regards, Jordan Juniper.",2026-08-15 11:22,Order Status,ORD00964
EMAIL01572,CUST0258,Complaint about delivery,"My package for ORD01170 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply today. Please let me know what you need from me. Kind regards, Avery Fern.",2026-02-01 11:16,Complaint,ORD01170
EMAIL01664,CUST0177,Very disappointed,"Dear support team, I am unhappy with order ORD00435. The Pioneer Compact Blender was not as described and this has been frustrating. Please reply this week. I hope this can be resolved soon. Kind regards, Quinn Ivy.",2026-05-15 10:58,Complaint,ORD00435
EMAIL01794,CUST0218,Poor experience,"I have tried to get help with ORD00374 twice. Still no answer. Really disappointed with the service. Please reply today. Please let me know what you need from me. Kind regards, Jamie Hollow.",2026-01-12 17:34,Complaint,ORD00374
EMAIL00622,CUST0293,Cancel order,"I no longer need the Nova Crossbody Bag. Can you cancel ORD00061 and refund the payment? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Quinn Ember.",2026-07-01 16:57,Cancellation,ORD00061
EMAIL00600,CUST0193,Return request,"The Summit Rain Jacket arrived damaged. I would like to return it and receive a refund for ORD01139. Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Rowan Ivy.",2026-02-14 17:25,Return/Refund,ORD01139
EMAIL02046,CUST0099,Can you replace this?,"Hi, the Sage Training Shoe from ORD01098 is the wrong size. How can I swap it for the correct one? Please reply when you can. I hope this can be resolved soon. Kind regards, Jamie Cove.",2026-06-03 12:22,Exchange,ORD01098
EMAIL00026,CUST0005,Where is my order?,"Hey, I placed order ORD00045 a few days ago and it still says shipped. Can you tell me when it will arrive? Thanks, Skyler Briar Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Skyler Briar.",2026-07-14 17:57,Order Status,ORD00045
EMAIL01499,CUST0289,Is this in stock?,"Do you still have the Sage Wireless Earbuds available? I am looking for one as a gift. Please reply today. I checked the help page but could not find a clear answer. Kind regards, Rowan Briar.",2026-05-17 10:22,Product Information,ORD00365
EMAIL00420,CUST0212,I need to return an item,"Dear support team, I received the Nimbus Electric Kettle from order ORD00018, but it does not fit my needs. Please send the return instructions. Please reply today. I checked the help page but could not find a clear answer. Kind regards, Avery Fern.",2026-03-31 11:05,Return/Refund,ORD00018
EMAIL00112,CUST0103,Where is my order?,"Dear support team, I placed order ORD00148 a few days ago and it still says processing. Can you tell me when it will arrive? Please help, Jamie Dale Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Jamie Dale.",2026-01-31 09:28,Order Status,ORD00148
EMAIL01216,CUST0067,Question about Drift Rain Jacket,"Hello, could you tell me more about the Drift Rain Jacket? I need the size, material, and care details before ordering. Please reply before the weekend. Please let me know what you need from me. Kind regards, Jordan Fern.",2026-05-26 14:54,Product Information,ORD00165
EMAIL00803,CUST0135,Cancel order,"I no longer need the Summit Foam Roller. Can you cancel ORD01197 and refund the payment? Please reply when you can. I hope this can be resolved soon. Kind regards, Jamie Fern.",2026-02-19 14:45,Cancellation,ORD01197
EMAIL01960,CUST0298,Can you replace this?,"Hi, the Summit Air Fryer from ORD00732 is the wrong size. How can I swap it for the correct one? Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Jordan Lark.",2026-06-28 20:20,Exchange,ORD00732
EMAIL00219,CUST0042,Has my package shipped?,"Hi, I ordered a Cedar Rain Jacket. Is order ORD00646 on its way yet? Please reply today. I hope this can be resolved soon. Kind regards, Morgan Ember.",2026-05-01 18:33,Order Status,ORD00646
EMAIL02172,CUST0252,Need account help,"Hey, I cannot log in after resetting my password. Can you help me access my account? Please reply this week. Please let me know what you need from me. Kind regards, Avery Fern.",2026-03-18 09:50,Other,ORD00442
EMAIL02391,CUST0088,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply this week. I hope this can be resolved soon. Kind regards, Jordan Cove.",2026-02-21 09:10,Other,
EMAIL01004,CUST0231,I was charged twice,"I can see two charges for order ORD00535, but I only placed one order. Please look into this. Please reply before the weekend. I hope this can be resolved soon. Kind regards, Jamie Lark.",2026-02-17 14:40,Payment Issue,ORD00535
EMAIL01729,CUST0061,Very disappointed,"Hi, I am unhappy with order ORD00923. The Sage Gentle Cleanser was not as described and this has been frustrating. Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Rowan Dale.",2026-02-11 10:04,Complaint,ORD00923
EMAIL02108,CUST0050,Discount code question,"Do you have a student discount or a promo code I can use for the Willow Coffee Grinder? Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Casey Briar.",2026-04-16 14:42,Other,ORD01102
EMAIL02385,CUST0004,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply this week. I hope this can be resolved soon. Kind regards, Avery Cove.",2026-05-26 15:29,Other,ORD00437
EMAIL02065,CUST0121,Exchange request,"I would like to exchange the Meadow Vitamin C Set from order ORD00599 for a different size or color. Please tell me the next steps. Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Riley Grove.",2026-04-07 14:43,Exchange,ORD00599
EMAIL01509,CUST0228,Very disappointed,"Dear support team, I am unhappy with order ORD00057. The Ember Gentle Cleanser was not as described and this has been frustrating. Please reply this week. Please let me know what you need from me. Kind regards, Avery Fern.",2026-01-03 08:36,Complaint,ORD00057
EMAIL01997,CUST0045,Exchange request,"I would like to exchange the Ember Bamboo Organizer from order ORD00213 for a different size or color. Please tell me the next steps. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Taylor Cove.",2026-06-01 16:15,Exchange,ORD00213
EMAIL01906,CUST0222,Need a different size,"Dear support team, I received the Drift Insulated Bottle from order ORD00626, but the size is wrong. Can I exchange it for a smaller size? Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Quinn Fern.",2026-02-08 20:32,Exchange,ORD00626
EMAIL01861,CUST0288,Need a different size,"Hey, I received the Lumen Cast Iron Pan from order ORD00236, but the size is wrong. Can I exchange it for a smaller size? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Casey Hollow.",2026-07-24 19:39,Exchange,ORD00236
EMAIL00436,CUST0087,Return request,"The Orbit Fleece Hoodie arrived damaged. I would like to return it and receive a refund for ORD01113. Please reply this week. Sorry if I missed this information somewhere. Kind regards, Taylor Hollow.",2026-08-08 11:17,Return/Refund,ORD01113
EMAIL01130,CUST0103,I was charged twice,"I can see two charges for order ORD00148, but I only placed one order. Please look into this. Please reply today. A quick reply would be appreciated. Kind regards, Jamie Dale.",2026-01-13 12:59,Payment Issue,ORD00148
EMAIL00807,CUST0023,Please cancel my order,"Hey, please cancel order ORD00669 before it ships. I made this purchase by mistake. Please reply before the weekend. Please let me know what you need from me. Kind regards, Riley Dale.",2026-07-13 12:55,Cancellation,ORD00669
EMAIL02016,CUST0224,Can you replace this?,"Hi, the Meadow Quilted Vest from ORD01085 is the wrong size. How can I swap it for the correct one? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Taylor Ivy.",2026-06-26 20:43,Exchange,ORD01085
EMAIL00315,CUST0128,Refund status,"I returned order ORD00280 and have not received my refund. Can someone check the status for me? Please reply when you can. Please let me know what you need from me. Kind regards, Morgan Ivy.",2026-01-26 15:35,Return/Refund,ORD00280
EMAIL01016,CUST0015,Payment problem,"My card payment for ORD00731 is still pending in my bank app. Did the order go through? Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Riley Ivy.",2026-08-13 14:50,Payment Issue,ORD00731
EMAIL02012,CUST0044,Can you replace this?,"Hi, the Terra Rain Jacket from ORD00900 is the wrong size. How can I swap it for the correct one? Please reply today. Sorry if I missed this information somewhere. Kind regards, Casey Briar.",2026-01-30 14:15,Exchange,ORD00900
EMAIL01571,CUST0082,Poor experience,"I have tried to get help with ORD01034 twice. Still no answer. Really disappointed with the service. Please reply as soon as possible. Sorry if I missed this information somewhere. Kind regards, Rowan Dale.",2026-05-23 16:29,Complaint,ORD01034
EMAIL00957,CUST0131,I was charged twice,"I can see two charges for order ORD01009, but I only placed one order. Please look into this. Please reply today. I hope this can be resolved soon. Kind regards, Skyler Juniper.",2026-01-16 20:07,Payment Issue,ORD01009
EMAIL00746,CUST0292,Please cancel my order,"Hi, please cancel order ORD00276 before it ships. I made this purchase by mistake. Please reply when you can. I hope this can be resolved soon. Kind regards, Skyler Juniper.",2026-06-29 09:40,Cancellation,ORD00276
EMAIL00724,CUST0171,Please cancel my order,"Dear support team, please cancel order ORD00571 before it ships. I made this purchase by mistake. Please reply when you can. Please let me know what you need from me. Kind regards, Riley Ivy.",2026-02-13 18:18,Cancellation,ORD00571
EMAIL01785,CUST0220,Complaint about delivery,"My package for ORD01001 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply before the weekend. I hope this can be resolved soon. Kind regards, Quinn Cove.",2026-02-23 09:08,Complaint,ORD01001
EMAIL01258,CUST0089,Warranty question,"Hi, does the Brook Wireless Earbuds come with a warranty? I could not find the answer on the product page. Please reply today. Please let me know what you need from me. Kind regards, Morgan Ember.",2026-05-18 10:55,Product Information,
EMAIL01299,CUST0085,Question about Terra Electric Kettle,"Hi, could you tell me more about the Terra Electric Kettle? I need the size, material, and care details before ordering. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Rowan Hollow.",2026-03-24 13:39,Product Information,
EMAIL00753,CUST0060,Accidental order,"Oops, I ordered the wrong item. Is it still possible to stop order ORD00079? Please reply today. Sorry if I missed this information somewhere. Kind regards, Taylor Briar.",2026-01-28 13:13,Cancellation,ORD00079
EMAIL00462,CUST0143,Return request,"The Harbor Fleece Hoodie arrived damaged. I would like to return it and receive a refund for ORD00133. Please reply when you can. A quick reply would be appreciated. Kind regards, Skyler Hollow.",2026-08-13 11:28,Return/Refund,ORD00133
EMAIL01514,CUST0202,Complaint about delivery,"My package for ORD00848 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply today. Sorry if I missed this information somewhere. Kind regards, Morgan Fern.",2026-08-08 19:13,Complaint,ORD00848
EMAIL01683,CUST0274,Very disappointed,"Hey, I am unhappy with order ORD00029. The Harbor Cast Iron Pan was not as described and this has been frustrating. Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Casey Cove.",2026-04-01 20:49,Complaint,ORD00029
EMAIL01198,CUST0161,Checkout error,"Hi, my payment keeps failing when I try to buy the Cedar Air Fryer. The card works everywhere else. Please reply as soon as possible. Please let me know what you need from me. Kind regards, Skyler Grove.",2026-03-21 11:01,Payment Issue,ORD00526
EMAIL01831,CUST0259,Can you replace this?,"Hi, the Brook Crossbody Bag from ORD00772 is the wrong size. How can I swap it for the correct one? Please reply this week. I hope this can be resolved soon. Kind regards, Morgan Juniper.",2026-07-17 09:42,Exchange,ORD00772
EMAIL00445,CUST0254,I need to return an item,"Hello, I received the Summit Rain Jacket from order ORD00826, but it does not fit my needs. Please send the return instructions. Please reply this week. I hope this can be resolved soon. Kind regards, Taylor Cove.",2026-08-10 13:15,Return/Refund,ORD00826
EMAIL02006,CUST0070,Need a different size,"Hello, I received the Ember Denim Jacket from order ORD00677, but the size is wrong. Can I exchange it for a smaller size? Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Taylor Cove.",2026-03-04 11:17,Exchange,ORD00677
EMAIL01402,CUST0272,Question about Harbor Wireless Earbuds,"Dear support team, could you tell me more about the Harbor Wireless Earbuds? I need the size, material, and care details before ordering. Please reply today. A quick reply would be appreciated. Kind regards, Skyler Grove.",2026-02-21 10:36,Product Information,ORD00040
EMAIL02068,CUST0199,Can you replace this?,"Hi, the Brook Walking Shoe from ORD00354 is the wrong size. How can I swap it for the correct one? Please reply before the weekend. Please let me know what you need from me. Kind regards, Rowan Briar.",2026-02-14 12:15,Exchange,ORD00354
EMAIL00669,CUST0090,Cancel order,"I no longer need the Nova Gentle Cleanser. Can you cancel ORD00558 and refund the payment? Please reply when you can. A quick reply would be appreciated. Kind regards, Riley Ember.",2026-01-13 15:09,Cancellation,ORD00558
EMAIL02273,CUST0211,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply today. A quick reply would be appreciated. Kind regards, Riley Hollow.",2026-06-07 17:03,Other,ORD01185
EMAIL02064,CUST0296,Exchange request,"I would like to exchange the Nova Crossbody Bag from order ORD00419 for a different size or color. Please tell me the next steps. Please reply this week. I checked the help page but could not find a clear answer. Kind regards, Riley Briar.",2026-08-02 17:50,Exchange,ORD00419
EMAIL00796,CUST0014,Accidental order,"Oops, I ordered the wrong item. Is it still possible to stop order ORD00126? Please reply before the weekend. A quick reply would be appreciated. Kind regards, Casey Ember.",2026-04-07 13:40,Cancellation,ORD00126
EMAIL00663,CUST0103,Please cancel my order,"Dear support team, please cancel order ORD00148 before it ships. I made this purchase by mistake. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Jamie Dale.",2026-07-01 10:05,Cancellation,ORD00148
EMAIL02021,CUST0204,Can you replace this?,"Hi, the Cedar Resistance Band Set from ORD00381 is the wrong size. How can I swap it for the correct one? Please reply when you can. A quick reply would be appreciated. Kind regards, Skyler Ember.",2026-01-01 12:43,Exchange,ORD00381
EMAIL02002,CUST0112,Need a different size,"Hey, I received the Cedar Resistance Band Set from order ORD01181, but the size is wrong. Can I exchange it for a smaller size? Please reply when you can. I hope this can be resolved soon. Kind regards, Jamie Ivy.",2026-03-22 16:25,Exchange,ORD01181
EMAIL00419,CUST0167,I need to return an item,"Hi, I received the Nova Trail Runner from order ORD00525, but it does not fit my needs. Please send the return instructions. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Morgan Fern.",2026-07-08 10:58,Return/Refund,ORD00525
EMAIL00261,CUST0216,Where is my order?,"Hi, I placed order ORD00008 a few days ago and it still says shipped. Can you tell me when it will arrive? Thank you, Morgan Lark Please reply this week. Sorry if I missed this information somewhere. Kind regards, Morgan Lark.",2026-02-19 17:54,Order Status,ORD00008
EMAIL00637,CUST0291,Please cancel my order,"Dear support team, please cancel order ORD00460 before it ships. I made this purchase by mistake. Please reply as soon as possible. Please let me know what you need from me. Kind regards, Riley Lark.",2026-05-17 16:39,Cancellation,ORD00460
EMAIL02071,CUST0142,Can you replace this?,"Hi, the Summit Night Cream from ORD00695 is the wrong size. How can I swap it for the correct one? Please reply this week. Sorry if I missed this information somewhere. Kind regards, Riley Cove.",2026-03-14 13:13,Exchange,ORD00695
EMAIL00695,CUST0173,Please cancel my order,"Hi, please cancel order ORD01054 before it ships. I made this purchase by mistake. Please reply as soon as possible. Sorry if I missed this information somewhere. Kind regards, Casey Hollow.",2026-08-26 14:37,Cancellation,ORD01054
EMAIL01496,CUST0271,Warranty question,"Hi, does the Nova Wireless Earbuds come with a warranty? I could not find the answer on the product page. Please reply this week. A quick reply would be appreciated. Kind regards, Avery Dale.",2026-07-18 13:44,Product Information,ORD00937
EMAIL00880,CUST0239,Cancel order,"I no longer need the Aster Coffee Grinder. Can you cancel ORD00030 and refund the payment? Please reply when you can. A quick reply would be appreciated. Kind regards, Riley Briar.",2026-08-18 16:25,Cancellation,ORD00030
EMAIL00421,CUST0218,Refund status,"I returned order ORD00325 and have not received my refund. Can someone check the status for me? Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Jamie Hollow.",2026-04-23 10:54,Return/Refund,ORD00325
EMAIL01554,CUST0010,Poor experience,"I have tried to get help with ORD01048 twice. Still no answer. Really disappointed with the service. Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Taylor Grove.",2026-06-11 12:05,Complaint,ORD01048
EMAIL02017,CUST0261,Can you replace this?,"Hi, the Cedar Air Fryer from ORD01003 is the wrong size. How can I swap it for the correct one? Please reply when you can. I hope this can be resolved soon. Kind regards, Casey Ivy.",2026-04-01 14:06,Exchange,ORD01003
EMAIL02160,CUST0020,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply when you can. A quick reply would be appreciated. Kind regards, Morgan Briar.",2026-08-25 12:09,Other,
EMAIL01611,CUST0151,Poor experience,"I have tried to get help with ORD01111 twice. Still no answer. Really disappointed with the service. Please reply when you can. I hope this can be resolved soon. Kind regards, Quinn Hollow.",2026-03-11 14:56,Complaint,ORD01111
EMAIL01250,CUST0204,Warranty question,"Hi, does the Lumen Canvas Tote come with a warranty? I could not find the answer on the product page. Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Skyler Ember.",2026-03-01 12:11,Product Information,
EMAIL01317,CUST0222,Is this in stock?,"Do you still have the Drift Insulated Bottle available? I am looking for one as a gift. Please reply as soon as possible. Sorry if I missed this information somewhere. Kind regards, Quinn Fern.",2026-01-23 19:30,Product Information,ORD00626
EMAIL00806,CUST0069,Please cancel my order,"Dear support team, please cancel order ORD00660 before it ships. I made this purchase by mistake. Please reply before the weekend. Please let me know what you need from me. Kind regards, Rowan Ember.",2026-01-22 15:55,Cancellation,ORD00660
