order_id,customer_id,product_id,product_name,order_date,order_status,payment_status,order_amount
ORD00035,CUST0236,PRD-087,Pioneer Vitamin C Set,2025-06-22,Shipped,Pending,44.52
ORD00036,CUST0095,PRD-091,Summit Night Cream,2026-07-10,Processing,Paid,77.58
ORD00037,CUST0025,PRD-016,Drift Noise-Canceling Headphones,2025-01-07,Delivered,Pending,56.28
ORD00038,CUST0078,PRD-106,Nova Crossbody Bag,2025-01-10,Processing,Paid,40.82
ORD00039,CUST0250,PRD-056,Drift Trail Runner,2025-01-17,Out for Delivery,Paid,268.80
ORD00040,CUST0272,PRD-002,Harbor Wireless Earbuds,2025-10-09,Delivered,Paid,43.20
ORD00041,CUST0092,PRD-138,Terra Resistance Band Set,2025-04-20,Returned,Refunded,114.56
ORD00042,CUST0182,PRD-025,Solace Denim Jacket,2025-10-01,Delivered,Paid,177.15
ORD00043,CUST0290,PRD-102,Harbor Travel Backpack,2025-09-07,Processing,Refunded,87.22
ORD00044,CUST0017,PRD-058,Terra Daily Runner,2025-04-06,Shipped,Pending,102.80
ORD00045,CUST0005,PRD-104,Cedar Laptop Sleeve,2025-06-25,Shipped,Paid,176.01
ORD00046,CUST0290,PRD-022,Harbor Fleece Hoodie,2025-04-08,Out for Delivery,Paid,117.63
ORD00047,CUST0139,PRD-136,Drift Insulated Bottle,2025-02-17,Cancelled,Refunded,248.54
ORD00048,CUST0092,PRD-020,Brook Wireless Earbuds,2025-11-19,Delivered,Paid,75.01
ORD00049,CUST0040,PRD-005,Solace Studio Microphone,2025-11-03,Returned,Refunded,206.72
ORD00050,CUST0277,PRD-042,Harbor Training Shoe,2025-12-06,Delivered,Paid,185.58
ORD00051,CUST0257,PRD-099,Aster Night Cream,2025-12-21,Delivered,Paid,123.48
ORD00052,CUST0175,PRD-014,Coast Portable Speaker,2026-02-11,Processing,Paid,138.82
ORD00053,CUST0252,PRD-084,Cedar Night Cream,2025-08-22,Processing,Paid,252.38
ORD00054,CUST0300,PRD-092,Meadow Vitamin C Set,2026-01-25,Delivered,Paid,99.46
ORD00055,CUST0038,PRD-022,Harbor Fleece Hoodie,2025-03-26,Delivered,Paid,117.63
ORD00056,CUST0200,PRD-069,Willow Coffee Grinder,2025-11-21,Processing,Paid,130.12
ORD00057,CUST0228,PRD-093,Ember Gentle Cleanser,2026-01-04,Processing,Paid,67.27
ORD00058,CUST0230,PRD-070,Lumen Compact Blender,2026-07-25,Processing,Paid,271.58
ORD00059,CUST0182,PRD-143,Orbit Bamboo Organizer,2026-07-22,Out for Delivery,Paid,104.69
ORD00060,CUST0007,PRD-024,Cedar Rain Jacket,2025-10-26,Delivered,Pending,346.30
ORD00061,CUST0293,PRD-106,Nova Crossbody Bag,2026-06-18,Shipped,Paid,40.82
ORD00062,CUST0155,PRD-044,Cedar Walking Shoe,2025-10-02,Delivered,Paid,26.45
ORD00063,CUST0216,PRD-127,Pioneer Insulated Bottle,2025-11-03,Processing,Paid,129.86
ORD00064,CUST0254,PRD-124,Cedar Resistance Band Set,2025-07-20,Delivered,Paid,134.87
ORD00065,CUST0171,PRD-118,Terra Canvas Tote,2026-01-25,Processing,Paid,198.02
ORD00066,CUST0154,PRD-085,Solace Night Cream,2025-11-25,Out for Delivery,Paid,155.92
ORD00067,CUST0091,PRD-155,Sage Ceramic Mug Set,2026-02-12,Returned,Refunded,60.37
ORD00068,CUST0295,PRD-082,Harbor Vitamin C Set,2025-09-06,Shipped,Paid,100.86
ORD00069,CUST0187,PRD-084,Cedar Night Cream,2025-04-27,Shipped,Pending,252.38
ORD00070,CUST0282,PRD-145,Solace Glass Storage Set,2025-01-28,Processing,Refunded,48.18
ORD00071,CUST0036,PRD-119,Aster Laptop Sleeve,2026-02-23,Returned,Refunded,148.24
ORD00072,CUST0079,PRD-128,Atlas Insulated Bottle,2026-03-10,Processing,Paid,159.40
ORD00073,CUST0299,PRD-097,Echo Gentle Cleanser,2026-02-15,Processing,Refunded,91.46
ORD00074,CUST0279,PRD-137,Echo Foam Roller,2025-02-07,Out for Delivery,Failed,338.30
ORD00075,CUST0056,PRD-093,Ember Gentle Cleanser,2025-09-12,Delivered,Pending,67.27
ORD00076,CUST0170,PRD-091,Summit Night Cream,2026-03-17,Processing,Paid,77.58
ORD00077,CUST0229,PRD-028,Atlas Denim Jacket,2026-01-19,Processing,Paid,127.98
ORD00078,CUST0177,PRD-101,Nimbus Canvas Tote,2025-01-26,Out for Delivery,Paid,57.67
ORD00079,CUST0060,PRD-124,Cedar Resistance Band Set,2025-05-26,Processing,Paid,134.87
ORD00080,CUST0267,PRD-090,Lumen Gentle Cleanser,2026-05-10,Shipped,Paid,175.53
ORD00081,CUST0164,PRD-090,Lumen Gentle Cleanser,2025-03-10,Out for Delivery,Paid,351.06
ORD00082,CUST0176,PRD-077,Echo Coffee Grinder,2025-04-22,Processing,Paid,171.81
ORD00083,CUST0170,PRD-043,Orbit Training Shoe,2026-07-28,Cancelled,Paid,174.54
ORD00084,CUST0095,PRD-110,Lumen Canvas Tote,2025-07-10,Returned,Refunded,199.76
ORD00085,CUST0231,PRD-111,Summit Travel Backpack,2026-03-16,Shipped,Paid,26.19
ORD00086,CUST0033,PRD-100,Brook Vitamin C Set,2025-04-15,Processing,Paid,162.02
ORD00087,CUST0059,PRD-138,Terra Resistance Band Set,2025-09-26,Processing,Paid,114.56
ORD00088,CUST0201,PRD-126,Nova Yoga Mat,2025-04-27,Delivered,Paid,97.82
ORD00089,CUST0153,PRD-090,Lumen Gentle Cleanser,2025-03-28,Shipped,Paid,175.53
ORD00090,CUST0094,PRD-035,Sage Denim Jacket,2026-01-18,Shipped,Paid,171.52
ORD00091,CUST0295,PRD-037,Echo Fleece Hoodie,2026-01-28,Out for Delivery,Paid,125.23
ORD00092,CUST0285,PRD-109,Willow Canvas Tote,2025-06-20,Processing,Paid,98.80
ORD00093,CUST0028,PRD-126,Nova Yoga Mat,2026-01-03,Shipped,Paid,97.82
ORD00094,CUST0288,PRD-003,Orbit Studio Microphone,2026-06-02,Out for Delivery,Paid,193.36
ORD00095,CUST0251,PRD-127,Pioneer Insulated Bottle,2025-06-21,Shipped,Paid,259.72
ORD00096,CUST0150,PRD-022,Harbor Fleece Hoodie,2025-02-03,Delivered,Pending,117.63
ORD00097,CUST0290,PRD-071,Summit Air Fryer,2026-05-23,Shipped,Paid,212.74
ORD00098,CUST0279,PRD-141,Nimbus Glass Storage Set,2026-01-11,Out for Delivery,Paid,95.35
ORD00099,CUST0280,PRD-139,Aster Yoga Mat,2025-08-12,Delivered,Paid,169.90
ORD00100,CUST0153,PRD-109,Willow Canvas Tote,2025-02-03,Processing,Pending,98.80
ORD00101,CUST0225,PRD-116,Drift Travel Backpack,2025-05-01,Shipped,Failed,38.84
ORD00102,CUST0220,PRD-061,Nimbus Electric Kettle,2025-06-19,Shipped,Paid,57.06
ORD00103,CUST0031,PRD-158,Terra Bamboo Organizer,2026-08-07,Processing,Paid,173.09
ORD00104,CUST0166,PRD-090,Lumen Gentle Cleanser,2025-10-27,Delivered,Paid,175.53
ORD00105,CUST0070,PRD-075,Sage Air Fryer,2026-02-26,Delivered,Refunded,172.35
ORD00106,CUST0128,PRD-016,Drift Noise-Canceling Headphones,2025-05-30,Returned,Paid,56.28
ORD00107,CUST0251,PRD-083,Orbit Gentle Cleanser,2025-05-26,Delivered,Pending,327.18
ORD00108,CUST0232,PRD-148,Atlas Cast Iron Pan,2025-03-19,Delivered,Paid,98.48
ORD00109,CUST0233,PRD-024,Cedar Rain Jacket,2026-05-15,Shipped,Paid,173.15
ORD00110,CUST0235,PRD-084,Cedar Night Cream,2026-01-02,Delivered,Failed,126.19
ORD00111,CUST0109,PRD-017,Echo Noise-Canceling Headphones,2026-05-22,Delivered,Paid,282.30
ORD00112,CUST0290,PRD-069,Willow Coffee Grinder,2026-05-12,Shipped,Paid,130.12
ORD00113,CUST0009,PRD-088,Atlas Gentle Cleanser,2025-05-08,Cancelled,Paid,234.28
ORD00114,CUST0104,PRD-041,Nimbus Training Shoe,2025-05-16,Out for Delivery,Paid,328.88
ORD00115,CUST0048,PRD-078,Terra Electric Kettle,2026-01-05,Processing,Refunded,78.27
ORD00116,CUST0027,PRD-065,Solace Air Fryer,2026-02-10,Processing,Paid,161.50
ORD00117,CUST0047,PRD-079,Aster Coffee Grinder,2025-04-08,Delivered,Pending,137.86
ORD00118,CUST0266,PRD-001,Nimbus Portable Speaker,2026-04-01,Shipped,Paid,68.49
ORD00119,CUST0217,PRD-003,Orbit Studio Microphone,2025-05-16,Processing,Paid,96.68
ORD00120,CUST0053,PRD-123,Orbit Insulated Bottle,2025-11-17,Processing,Paid,112.56
ORD00121,CUST0074,PRD-095,Sage Gentle Cleanser,2025-03-12,Cancelled,Refunded,120.88
ORD00122,CUST0226,PRD-136,Drift Insulated Bottle,2025-12-26,Delivered,Paid,124.27
ORD00123,CUST0227,PRD-055,Sage Training Shoe,2025-08-11,Delivered,Paid,56.34
ORD00124,CUST0197,PRD-023,Orbit Fleece Hoodie,2025-12-26,Cancelled,Refunded,90.86
ORD00125,CUST0044,PRD-110,Lumen Canvas Tote,2025-09-12,Shipped,Paid,99.88
ORD00126,CUST0014,PRD-142,Harbor Cast Iron Pan,2025-11-05,Delivered,Paid,64.24
ORD00127,CUST0152,PRD-053,Ember Trail Runner,2025-02-25,Out for Delivery,Paid,213.82
ORD00128,CUST0037,PRD-062,Harbor Electric Kettle,2026-06-25,Out for Delivery,Paid,79.22
ORD00129,CUST0188,PRD-004,Cedar Wireless Earbuds,2026-07-14,Returned,Paid,147.84
ORD00130,CUST0009,PRD-045,Solace Daily Runner,2025-03-11,Delivered,Refunded,133.25
ORD00131,CUST0204,PRD-004,Cedar Wireless Earbuds,2026-06-03,Shipped,Paid,73.92
ORD00132,CUST0217,PRD-074,Coast Compact Blender,2026-02-16,Delivered,Paid,60.32
ORD00133,CUST0143,PRD-022,Harbor Fleece Hoodie,2025-03-27,Delivered,Paid,117.63
ORD00134,CUST0275,PRD-080,Brook Air Fryer,2025-12-01,Processing,Failed,98.85
ORD00135,CUST0159,PRD-101,Nimbus Canvas Tote,2026-03-24,Delivered,Pending,57.67
ORD00136,CUST0060,PRD-062,Harbor Electric Kettle,2026-04-10,Processing,Paid,79.22
ORD00137,CUST0062,PRD-157,Echo Cast Iron Pan,2025-01-13,Delivered,Paid,129.83
ORD00138,CUST0268,PRD-036,Drift Rain Jacket,2026-06-14,Delivered,Paid,43.10
ORD00139,CUST0061,PRD-067,Pioneer Compact Blender,2025-01-31,Processing,Paid,158.26
ORD00140,CUST0135,PRD-086,Nova Gentle Cleanser,2025-03-20,Delivered,Paid,37.66
ORD00141,CUST0291,PRD-128,Atlas Insulated Bottle,2025-06-20,Out for Delivery,Paid,318.80
ORD00142,CUST0117,PRD-095,Sage Gentle Cleanser,2026-06-06,Processing,Pending,120.88
ORD00143,CUST0024,PRD-001,Nimbus Portable Speaker,2026-04-29,Processing,Failed,68.49
ORD00144,CUST0284,PRD-094,Coast Gentle Cleanser,2026-03-06,Shipped,Paid,74.06
ORD00145,CUST0139,PRD-058,Terra Daily Runner,2025-03-21,Shipped,Paid,102.80
ORD00146,CUST0092,PRD-147,Pioneer Glass Storage Set,2025-08-17,Shipped,Paid,162.06
ORD00147,CUST0145,PRD-133,Ember Resistance Band Set,2025-11-15,Returned,Paid,259.64
ORD00148,CUST0103,PRD-084,Cedar Night Cream,2025-10-26,Processing,Paid,126.19
ORD00149,CUST0238,PRD-145,Solace Glass Storage Set,2026-01-13,Delivered,Paid,48.18
ORD00150,CUST0078,PRD-152,Meadow Ceramic Mug Set,2025-01-07,Returned,Pending,47.93
ORD00151,CUST0172,PRD-105,Solace Travel Backpack,2025-01-02,Processing,Paid,69.70
ORD00152,CUST0106,PRD-097,Echo Gentle Cleanser,2026-06-27,Delivered,Paid,45.73
ORD00153,CUST0144,PRD-061,Nimbus Electric Kettle,2025-04-06,Shipped,Refunded,57.06
ORD00154,CUST0235,PRD-012,Meadow Studio Microphone,2025-03-28,Cancelled,Paid,152.79
ORD00155,CUST0039,PRD-149,Willow Glass Storage Set,2026-08-05,Processing,Paid,246.04
ORD00156,CUST0150,PRD-016,Drift Noise-Canceling Headphones,2025-09-25,Out for Delivery,Refunded,56.28
ORD00157,CUST0163,PRD-081,Nimbus Night Cream,2026-04-09,Cancelled,Refunded,132.05
ORD00158,CUST0300,PRD-070,Lumen Compact Blender,2025-04-22,Shipped,Refunded,135.79
ORD00159,CUST0209,PRD-040,Brook Quilted Vest,2025-05-04,Processing,Paid,55.91
ORD00160,CUST0158,PRD-138,Terra Resistance Band Set,2026-04-20,Shipped,Pending,114.56
ORD00161,CUST0021,PRD-068,Atlas Coffee Grinder,2025-08-09,Delivered,Paid,162.10
ORD00162,CUST0203,PRD-084,Cedar Night Cream,2026-06-10,Processing,Paid,126.19
ORD00163,CUST0016,PRD-013,Ember Noise-Canceling Headphones,2026-02-19,Delivered,Paid,88.58
ORD00164,CUST0237,PRD-116,Drift Travel Backpack,2025-04-15,Delivered,Paid,38.84
ORD00165,CUST0067,PRD-036,Drift Rain Jacket,2025-07-22,Processing,Paid,43.10
ORD00166,CUST0299,PRD-103,Orbit Laptop Sleeve,2025-09-23,Shipped,Paid,116.28
ORD00167,CUST0066,PRD-020,Brook Wireless Earbuds,2025-04-05,Processing,Paid,150.02
ORD00168,CUST0087,PRD-085,Solace Night Cream,2026-03-20,Processing,Refunded,155.92
ORD00169,CUST0089,PRD-102,Harbor Travel Backpack,2025-12-29,Out for Delivery,Paid,87.22
ORD00170,CUST0077,PRD-055,Sage Training Shoe,2025-02-05,Cancelled,Refunded,56.34
ORD00171,CUST0256,PRD-158,Terra Bamboo Organizer,2026-02-26,Delivered,Paid,173.09
ORD00172,CUST0071,PRD-141,Nimbus Glass Storage Set,2026-03-06,Out for Delivery,Paid,190.70
ORD00173,CUST0279,PRD-052,Meadow Training Shoe,2025-01-20,Delivered,Pending,117.69
ORD00174,CUST0177,PRD-098,Terra Hydrating Serum,2026-08-03,Delivered,Paid,303.38
ORD00175,CUST0164,PRD-129,Willow Resistance Band Set,2025-08-13,Shipped,Paid,108.86
ORD00176,CUST0272,PRD-008,Atlas Noise-Canceling Headphones,2026-01-02,Cancelled,Paid,159.18
ORD00177,CUST0137,PRD-150,Lumen Cast Iron Pan,2026-07-01,Returned,Paid,109.98
ORD00178,CUST0182,PRD-015,Sage Wireless Earbuds,2025-06-27,Delivered,Refunded,207.92
ORD00179,CUST0015,PRD-046,Nova Trail Runner,2025-12-27,Shipped,Paid,62.19
ORD00180,CUST0253,PRD-146,Nova Cast Iron Pan,2026-07-10,Delivered,Paid,110.01
ORD00181,CUST0120,PRD-080,Brook Air Fryer,2025-08-13,Processing,Paid,98.85
ORD00182,CUST0067,PRD-006,Nova Wireless Earbuds,2025-12-15,Delivered,Paid,19.25
ORD00183,CUST0076,PRD-046,Nova Trail Runner,2025-05-26,Cancelled,Paid,62.19
ORD00184,CUST0192,PRD-029,Willow Denim Jacket,2026-02-10,Delivered,Failed,28.68
ORD00185,CUST0081,PRD-151,Summit Glass Storage Set,2026-03-24,Processing,Paid,151.97
ORD00186,CUST0115,PRD-125,Solace Insulated Bottle,2025-06-29,Delivered,Paid,41.94
ORD00187,CUST0091,PRD-097,Echo Gentle Cleanser,2025-01-02,Shipped,Paid,45.73
ORD00188,CUST0094,PRD-147,Pioneer Glass Storage Set,2025-11-22,Shipped,Refunded,162.06
ORD00189,CUST0073,PRD-157,Echo Cast Iron Pan,2025-12-06,Shipped,Paid,259.66
ORD00190,CUST0046,PRD-020,Brook Wireless Earbuds,2025-12-10,Shipped,Refunded,75.01
ORD00191,CUST0180,PRD-115,Sage Travel Backpack,2025-09-20,Processing,Paid,80.59
ORD00192,CUST0215,PRD-028,Atlas Denim Jacket,2025-06-20,Delivered,Paid,255.96
ORD00193,CUST0052,PRD-106,Nova Crossbody Bag,2026-05-06,Out for Delivery,Paid,81.64
ORD00194,CUST0232,PRD-148,Atlas Cast Iron Pan,2025-03-17,Delivered,Paid,49.24
ORD00195,CUST0038,PRD-009,Willow Portable Speaker,2025-12-17,Shipped,Paid,29.68
ORD00196,CUST0281,PRD-044,Cedar Walking Shoe,2025-04-06,Cancelled,Refunded,26.45
ORD00197,CUST0016,PRD-087,Pioneer Vitamin C Set,2026-03-18,Delivered,Paid,44.52
ORD00198,CUST0052,PRD-043,Orbit Training Shoe,2025-12-06,Delivered,Paid,174.54
ORD00199,CUST0145,PRD-053,Ember Trail Runner,2025-11-01,Returned,Refunded,106.91
ORD00200,CUST0079,PRD-061,Nimbus Electric Kettle,2025-02-25,Processing,Paid,114.12
ORD00201,CUST0103,PRD-093,Ember Gentle Cleanser,2025-04-10,Processing,Paid,134.54
ORD00202,CUST0243,PRD-007,Pioneer Portable Speaker,2025-04-29,Shipped,Paid,71.16
ORD00203,CUST0047,PRD-079,Aster Coffee Grinder,2026-07-12,Delivered,Paid,68.93
ORD00204,CUST0096,PRD-100,Brook Vitamin C Set,2026-04-02,Processing,Failed,162.02
ORD00205,CUST0138,PRD-012,Meadow Studio Microphone,2026-08-01,Shipped,Paid,152.79
ORD00206,CUST0044,PRD-016,Drift Noise-Canceling Headphones,2025-12-19,Processing,Paid,56.28
ORD00207,CUST0284,PRD-139,Aster Yoga Mat,2025-03-04,Shipped,Pending,84.95
ORD00208,CUST0294,PRD-100,Brook Vitamin C Set,2025-08-30,Delivered,Paid,324.04
ORD00209,CUST0258,PRD-122,Harbor Insulated Bottle,2026-08-08,Shipped,Paid,150.15
ORD00210,CUST0062,PRD-133,Ember Resistance Band Set,2026-04-05,Delivered,Paid,129.82
ORD00211,CUST0099,PRD-045,Solace Daily Runner,2025-05-10,Returned,Refunded,133.25
ORD00212,CUST0104,PRD-011,Summit Studio Microphone,2025-06-01,Out for Delivery,Refunded,129.80
ORD00213,CUST0045,PRD-153,Ember Bamboo Organizer,2026-02-02,Shipped,Failed,19.11
ORD00214,CUST0267,PRD-143,Orbit Bamboo Organizer,2026-04-15,Shipped,Paid,104.69
ORD00215,CUST0058,PRD-004,Cedar Wireless Earbuds,2026-03-01,Delivered,Paid,147.84
ORD00216,CUST0055,PRD-039,Aster Quilted Vest,2026-07-31,Processing,Paid,77.02
ORD00217,CUST0211,PRD-026,Nova Fleece Hoodie,2025-09-28,Delivered,Failed,58.13
ORD00218,CUST0020,PRD-099,Aster Night Cream,2025-06-26,Delivered,Paid,246.96
ORD00219,CUST0020,PRD-071,Summit Air Fryer,2026-02-10,Shipped,Paid,212.74
ORD00220,CUST0138,PRD-085,Solace Night Cream,2026-01-17,Delivered,Paid,311.84
ORD00221,CUST0144,PRD-006,Nova Wireless Earbuds,2026-05-19,Shipped,Pending,19.25
ORD00222,CUST0227,PRD-026,Nova Fleece Hoodie,2025-11-25,Returned,Refunded,58.13
ORD00223,CUST0097,PRD-069,Willow Coffee Grinder,2026-03-29,Delivered,Paid,130.12
ORD00224,CUST0265,PRD-055,Sage Training Shoe,2026-01-18,Cancelled,Refunded,56.34
ORD00225,CUST0260,PRD-015,Sage Wireless Earbuds,2026-02-18,Out for Delivery,Paid,103.96
ORD00226,CUST0089,PRD-035,Sage Denim Jacket,2025-07-17,Delivered,Paid,171.52
ORD00227,CUST0026,PRD-052,Meadow Training Shoe,2026-01-05,Delivered,Paid,235.38
ORD00228,CUST0064,PRD-051,Summit Training Shoe,2025-02-01,Shipped,Pending,261.52
ORD00229,CUST0243,PRD-062,Harbor Electric Kettle,2026-07-19,Shipped,Paid,39.61
ORD00230,CUST0047,PRD-090,Lumen Gentle Cleanser,2025-10-19,Shipped,Pending,175.53
ORD00231,CUST0114,PRD-008,Atlas Noise-Canceling Headphones,2025-08-19,Shipped,Paid,79.59
ORD00232,CUST0005,PRD-053,Ember Trail Runner,2026-05-01,Shipped,Paid,106.91
ORD00233,CUST0115,PRD-034,Coast Denim Jacket,2025-09-16,Delivered,Paid,20.95
ORD00234,CUST0217,PRD-156,Drift Ceramic Mug Set,2026-01-21,Delivered,Paid,93.39
ORD00235,CUST0267,PRD-090,Lumen Gentle Cleanser,2026-02-11,Out for Delivery,Paid,175.53
ORD00236,CUST0288,PRD-150,Lumen Cast Iron Pan,2025-10-17,Processing,Paid,109.98
ORD00237,CUST0142,PRD-077,Echo Coffee Grinder,2025-11-29,Delivered,Paid,171.81
ORD00238,CUST0097,PRD-071,Summit Air Fryer,2025-06-03,Shipped,Paid,106.37
ORD00239,CUST0164,PRD-133,Ember Resistance Band Set,2025-05-24,Delivered,Failed,259.64
ORD00240,CUST0215,PRD-007,Pioneer Portable Speaker,2026-02-19,Delivered,Refunded,71.16
ORD00241,CUST0176,PRD-100,Brook Vitamin C Set,2025-08-16,Delivered,Paid,162.02
ORD00242,CUST0260,PRD-137,Echo Foam Roller,2025-11-04,Delivered,Paid,169.15
ORD00243,CUST0151,PRD-044,Cedar Walking Shoe,2025-04-10,Delivered,Failed,26.45
ORD00244,CUST0172,PRD-121,Nimbus Foam Roller,2025-04-02,Processing,Paid,114.18
ORD00245,CUST0216,PRD-057,Echo Walking Shoe,2025-12-06,Shipped,Paid,56.97
ORD00246,CUST0241,PRD-096,Drift Hydrating Serum,2025-02-24,Shipped,Paid,99.42
ORD00247,CUST0100,PRD-150,Lumen Cast Iron Pan,2026-05-28,Delivered,Paid,219.96
ORD00248,CUST0212,PRD-031,Summit Rain Jacket,2025-02-25,Delivered,Paid,166.51
ORD00249,CUST0292,PRD-039,Aster Quilted Vest,2026-04-14,Processing,Paid,154.04
ORD00250,CUST0250,PRD-037,Echo Fleece Hoodie,2025-12-07,Shipped,Paid,125.23
ORD00251,CUST0141,PRD-046,Nova Trail Runner,2025-08-03,Shipped,Paid,124.38
ORD00252,CUST0067,PRD-044,Cedar Walking Shoe,2026-03-21,Delivered,Paid,26.45
ORD00253,CUST0003,PRD-110,Lumen Canvas Tote,2025-02-08,Shipped,Refunded,199.76
ORD00254,CUST0165,PRD-137,Echo Foam Roller,2026-06-28,Processing,Paid,169.15
ORD00255,CUST0116,PRD-049,Willow Walking Shoe,2025-12-19,Processing,Paid,54.38
ORD00256,CUST0086,PRD-080,Brook Air Fryer,2025-03-08,Processing,Paid,98.85
ORD00257,CUST0223,PRD-012,Meadow Studio Microphone,2025-05-18,Shipped,Paid,152.79
ORD00258,CUST0085,PRD-088,Atlas Gentle Cleanser,2026-02-18,Returned,Refunded,117.14
ORD00259,CUST0109,PRD-005,Solace Studio Microphone,2025-01-23,Shipped,Paid,103.36
ORD00260,CUST0193,PRD-151,Summit Glass Storage Set,2025-09-19,Out for Delivery,Paid,151.97
ORD00261,CUST0056,PRD-137,Echo Foam Roller,2025-01-21,Delivered,Paid,169.15
ORD00262,CUST0064,PRD-013,Ember Noise-Canceling Headphones,2026-07-15,Delivered,Paid,177.16
ORD00263,CUST0155,PRD-065,Solace Air Fryer,2026-03-07,Out for Delivery,Paid,161.50
ORD00264,CUST0215,PRD-026,Nova Fleece Hoodie,2025-04-18,Delivered,Paid,58.13
ORD00265,CUST0055,PRD-131,Summit Foam Roller,2026-05-25,Delivered,Paid,116.83
ORD00266,CUST0184,PRD-051,Summit Training Shoe,2026-02-24,Delivered,Pending,130.76
ORD00267,CUST0247,PRD-076,Drift Coffee Grinder,2025-12-05,Processing,Paid,23.64
ORD00268,CUST0294,PRD-061,Nimbus Electric Kettle,2026-05-21,Processing,Paid,57.06
ORD00269,CUST0132,PRD-039,Aster Quilted Vest,2025-08-25,Returned,Paid,77.02
ORD00270,CUST0026,PRD-117,Echo Laptop Sleeve,2025-04-13,Returned,Refunded,216.74
ORD00271,CUST0219,PRD-045,Solace Daily Runner,2025-04-29,Cancelled,Paid,133.25
ORD00272,CUST0071,PRD-025,Solace Denim Jacket,2025-06-24,Delivered,Failed,177.15
ORD00273,CUST0048,PRD-085,Solace Night Cream,2026-01-17,Shipped,Paid,155.92
ORD00274,CUST0140,PRD-088,Atlas Gentle Cleanser,2026-01-30,Processing,Paid,234.28
ORD00275,CUST0058,PRD-123,Orbit Insulated Bottle,2025-05-16,Delivered,Paid,112.56
ORD00276,CUST0292,PRD-016,Drift Noise-Canceling Headphones,2026-03-25,Returned,Paid,112.56
