email_id,customer_id,subject,email_body,timestamp,category,order_id,text
EMAIL00052,CUST0006,Has my package shipped?,"Hi, I ordered a Pioneer Canvas Tote. Is order ORD00488 on its way yet? Please reply today. A quick reply would be appreciated. Kind regards, Rowan Hollow.",2026-03-10 09:36,Order Status,ORD00488,"Has my package shipped? Hi, I ordered a Pioneer Canvas Tote. Is order ORD00488 on its way yet? Please reply today. A quick reply would be appreciated. Kind regards, Rowan Hollow."
EMAIL00676,CUST0078,Cancel order,"I no longer need the Nimbus Night Cream. Can you cancel ORD00840 and refund the payment? Please reply when you can. A quick reply would be appreciated. Kind regards, Avery Grove.",2026-01-05 11:57,Cancellation,ORD00840,"Cancel order I no longer need the Nimbus Night Cream. Can you cancel ORD00840 and refund the payment? Please reply when you can. A quick reply would be appreciated. Kind regards, Avery Grove."
EMAIL00232,CUST0197,Has my package shipped?,"Hi, I ordered a Echo Noise-Canceling Headphones. Is order ORD00385 on its way yet? Please reply this week. Please let me know what you need from me. Kind regards, Jamie Juniper.",2026-07-17 09:14,Order Status,ORD00385,"Has my package shipped? Hi, I ordered a Echo Noise-Canceling Headphones. Is order ORD00385 on its way yet? Please reply this week. Please let me know what you need from me. Kind regards, Jamie Juniper."
EMAIL01104,CUST0194,Payment problem,"My card payment for ORD00778 is still pending in my bank app. Did the order go through? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Jamie Ivy.",2026-01-09 08:26,Payment Issue,ORD00778,"Payment problem My card payment for ORD00778 is still pending in my bank app. Did the order go through? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Jamie Ivy."
EMAIL02132,CUST0075,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply today. Sorry if I missed this information somewhere. Kind regards, Riley Lark.",2026-04-02 18:25,Other,ORD01200,"Change my address Hi, how do I update the delivery address saved in my account for future orders? Please reply today. Sorry if I missed this information somewhere. Kind regards, Riley Lark."
EMAIL00671,CUST0130,Cancel order,"I no longer need the Nimbus Training Shoe. Can you cancel ORD00451 and refund the payment? Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Jamie Dale.",2026-03-15 15:33,Cancellation,ORD00451,"Cancel order I no longer need the Nimbus Training Shoe. Can you cancel ORD00451 and refund the payment? Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Jamie Dale."
EMAIL00613,CUST0247,Accidental order,"Oops, I ordered the wrong item. Is it still possible to stop order ORD00366? Please reply this week. I hope this can be resolved soon. Kind regards, Morgan Dale.",2026-08-14 13:43,Cancellation,ORD00366,"Accidental order Oops, I ordered the wrong item. Is it still possible to stop order ORD00366? Please reply this week. I hope this can be resolved soon. Kind regards, Morgan Dale."
EMAIL01222,CUST0070,Is this in stock?,"Do you still have the Willow Portable Speaker available? I am looking for one as a gift. Please reply as soon as possible. Please let me know what you need from me. Kind regards, Taylor Cove.",2026-02-16 12:26,Product Information,,"Is this in stock? Do you still have the Willow Portable Speaker available? I am looking for one as a gift. Please reply as soon as possible. Please let me know what you need from me. Kind regards, Taylor Cove."
EMAIL00610,CUST0109,Cancel order,"I no longer need the Solace Studio Microphone. Can you cancel ORD00259 and refund the payment? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Riley Ember.",2026-04-19 13:42,Cancellation,ORD00259,"Cancel order I no longer need the Solace Studio Microphone. Can you cancel ORD00259 and refund the payment? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Riley Ember."
EMAIL02206,CUST0074,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply this week. A quick reply would be appreciated. Kind regards, Riley Cove.",2026-04-24 19:27,Other,,"Change my address Hi, how do I update the delivery address saved in my account for future orders? Please reply this week. A quick reply would be appreciated. Kind regards, Riley Cove."
EMAIL00778,CUST0118,Accidental order,"Oops, I ordered the wrong item. Is it still possible to stop order ORD00672? Please reply when you can. Please let me know what you need from me. Kind regards, Jordan Ivy.",2026-06-10 20:56,Cancellation,ORD00672,"Accidental order Oops, I ordered the wrong item. Is it still possible to stop order ORD00672? Please reply when you can. Please let me know what you need from me. Kind regards, Jordan Ivy."
EMAIL02286,CUST0034,Discount code question,"Do you have a student discount or a promo code I can use for the Coast Travel Backpack? Please reply before the weekend. I hope this can be resolved soon. Kind regards, Jordan Juniper.",2026-02-27 17:12,Other,ORD00977,"Discount code question Do you have a student discount or a promo code I can use for the Coast Travel Backpack? Please reply before the weekend. I hope this can be resolved soon. Kind regards, Jordan Juniper."
EMAIL01686,CUST0001,Very disappointed,"Hey, I am unhappy with order ORD00598. The Drift Noise-Canceling Headphones was not as described and this has been frustrating. Please reply today. A quick reply would be appreciated. Kind regards, Casey Briar.",2026-01-24 13:58,Complaint,ORD00598,"Very disappointed Hey, I am unhappy with order ORD00598. The Drift Noise-Canceling Headphones was not as described and this has been frustrating. Please reply today. A quick reply would be appreciated. Kind regards, Casey Briar."
EMAIL00763,CUST0035,Cancel order,"I no longer need the Summit Glass Storage Set. Can you cancel ORD00396 and refund the payment? Please reply when you can. I hope this can be resolved soon. Kind regards, Skyler Grove.",2026-08-08 17:36,Cancellation,ORD00396,"Cancel order I no longer need the Summit Glass Storage Set. Can you cancel ORD00396 and refund the payment? Please reply when you can. I hope this can be resolved soon. Kind regards, Skyler Grove."
EMAIL01506,CUST0105,Complaint about delivery,"My package for ORD00379 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Jamie Lark.",2026-01-23 17:14,Complaint,ORD00379,"Complaint about delivery My package for ORD00379 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Jamie Lark."
EMAIL01969,CUST0159,Need a different size,"Hi, I received the Nimbus Canvas Tote from order ORD00135, but the size is wrong. Can I exchange it for a smaller size? Please reply this week. A quick reply would be appreciated. Kind regards, Quinn Ivy.",2026-05-17 12:25,Exchange,ORD00135,"Need a different size Hi, I received the Nimbus Canvas Tote from order ORD00135, but the size is wrong. Can I exchange it for a smaller size? Please reply this week. A quick reply would be appreciated. Kind regards, Quinn Ivy."
EMAIL00378,CUST0054,Return request,"The Drift Rain Jacket arrived damaged. I would like to return it and receive a refund for ORD00914. Please reply today. I hope this can be resolved soon. Kind regards, Rowan Briar.",2026-04-21 09:46,Return/Refund,ORD00914,"Return request The Drift Rain Jacket arrived damaged. I would like to return it and receive a refund for ORD00914. Please reply today. I hope this can be resolved soon. Kind regards, Rowan Briar."
EMAIL01910,CUST0100,Need a different size,"Dear support team, I received the Lumen Cast Iron Pan from order ORD00247, but the size is wrong. Can I exchange it for a smaller size? Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Taylor Cove.",2026-05-23 19:54,Exchange,ORD00247,"Need a different size Dear support team, I received the Lumen Cast Iron Pan from order ORD00247, but the size is wrong. Can I exchange it for a smaller size? Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Taylor Cove."
EMAIL01240,CUST0249,Warranty question,"Hi, does the Cedar Air Fryer come with a warranty? I could not find the answer on the product page. Please reply today. A quick reply would be appreciated. Kind regards, Quinn Fern.",2026-01-26 10:05,Product Information,,"Warranty question Hi, does the Cedar Air Fryer come with a warranty? I could not find the answer on the product page. Please reply today. A quick reply would be appreciated. Kind regards, Quinn Fern."
EMAIL00991,CUST0147,Checkout error,"Hi, my payment keeps failing when I try to buy the Harbor Wireless Earbuds. The card works everywhere else. Please reply when you can. Please let me know what you need from me. Kind regards, Rowan Grove.",2026-06-06 14:01,Payment Issue,ORD00896,"Checkout error Hi, my payment keeps failing when I try to buy the Harbor Wireless Earbuds. The card works everywhere else. Please reply when you can. Please let me know what you need from me. Kind regards, Rowan Grove."
EMAIL00622,CUST0293,Cancel order,"I no longer need the Nova Crossbody Bag. Can you cancel ORD00061 and refund the payment? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Quinn Ember.",2026-07-01 16:57,Cancellation,ORD00061,"Cancel order I no longer need the Nova Crossbody Bag. Can you cancel ORD00061 and refund the payment? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Quinn Ember."
EMAIL01456,CUST0273,Warranty question,"Hi, does the Drift Trail Runner come with a warranty? I could not find the answer on the product page. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Avery Dale.",2026-08-20 13:38,Product Information,ORD00473,"Warranty question Hi, does the Drift Trail Runner come with a warranty? I could not find the answer on the product page. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Avery Dale."
EMAIL00182,CUST0269,Tracking update needed,"Could you check the delivery status of ORD01095? The tracking has not changed and I am starting to worry. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Jordan Lark.",2026-06-03 16:21,Order Status,ORD01095,"Tracking update needed Could you check the delivery status of ORD01095? The tracking has not changed and I am starting to worry. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Jordan Lark."
EMAIL00303,CUST0189,I need to return an item,"Dear support team, I received the Sage Air Fryer from order ORD01031, but it does not fit my needs. Please send the return instructions. Please reply this week. Sorry if I missed this information somewhere. Kind regards, Quinn Ivy.",2026-02-09 16:36,Return/Refund,ORD01031,"I need to return an item Dear support team, I received the Sage Air Fryer from order ORD01031, but it does not fit my needs. Please send the return instructions. Please reply this week. Sorry if I missed this information somewhere. Kind regards, Quinn Ivy."
EMAIL02106,CUST0295,Need account help,"Dear support team, I cannot log in after resetting my password. Can you help me access my account? Please reply today. I hope this can be resolved soon. Kind regards, Morgan Hollow.",2026-01-27 18:56,Other,ORD00392,"Need account help Dear support team, I cannot log in after resetting my password. Can you help me access my account? Please reply today. I hope this can be resolved soon. Kind regards, Morgan Hollow."
EMAIL00559,CUST0194,I need to return an item,"Hey, I received the Harbor Fleece Hoodie from order ORD00536, but it does not fit my needs. Please send the return instructions. Please reply today. Sorry if I missed this information somewhere. Kind regards, Jamie Ivy.",2026-04-05 14:15,Return/Refund,ORD00536,"I need to return an item Hey, I received the Harbor Fleece Hoodie from order ORD00536, but it does not fit my needs. Please send the return instructions. Please reply today. Sorry if I missed this information somewhere. Kind regards, Jamie Ivy."
EMAIL01587,CUST0094,Poor experience,"I have tried to get help with ORD00090 twice. Still no answer. Really disappointed with the service. Please reply this week. I hope this can be resolved soon. Kind regards, Jordan Lark.",2026-07-04 09:37,Complaint,ORD00090,"Poor experience I have tried to get help with ORD00090 twice. Still no answer. Really disappointed with the service. Please reply this week. I hope this can be resolved soon. Kind regards, Jordan Lark."
EMAIL02173,CUST0087,Discount code question,"Do you have a student discount or a promo code I can use for the Nova Gentle Cleanser? Please reply before the weekend. I hope this can be resolved soon. Kind regards, Taylor Hollow.",2026-05-19 10:33,Other,ORD00659,"Discount code question Do you have a student discount or a promo code I can use for the Nova Gentle Cleanser? Please reply before the weekend. I hope this can be resolved soon. Kind regards, Taylor Hollow."
EMAIL00768,CUST0246,Please cancel my order,"Hey, please cancel order ORD00026 before it ships. I made this purchase by mistake. Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Riley Grove.",2026-01-05 19:04,Cancellation,ORD00026,"Please cancel my order Hey, please cancel order ORD00026 before it ships. I made this purchase by mistake. Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Riley Grove."
EMAIL00245,CUST0048,Where is my order?,"Hi, I placed order ORD00273 a few days ago and it still says shipped. Can you tell me when it will arrive? Please help, Morgan Cove Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Morgan Cove.",2026-06-06 11:45,Order Status,ORD00273,"Where is my order? Hi, I placed order ORD00273 a few days ago and it still says shipped. Can you tell me when it will arrive? Please help, Morgan Cove Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Morgan Cove."
EMAIL02207,CUST0054,Discount code question,"Do you have a student discount or a promo code I can use for the Nova Gentle Cleanser? Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Rowan Briar.",2026-02-12 08:04,Other,ORD00990,"Discount code question Do you have a student discount or a promo code I can use for the Nova Gentle Cleanser? Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Rowan Briar."
EMAIL02304,CUST0053,Discount code question,"Do you have a student discount or a promo code I can use for the Nimbus Night Cream? Please reply today. Sorry if I missed this information somewhere. Kind regards, Morgan Cove.",2026-03-04 16:33,Other,ORD00286,"Discount code question Do you have a student discount or a promo code I can use for the Nimbus Night Cream? Please reply today. Sorry if I missed this information somewhere. Kind regards, Morgan Cove."
EMAIL00594,CUST0238,I need to return an item,"Hey, I received the Brook Quilted Vest from order ORD01080, but it does not fit my needs. Please send the return instructions. Please reply this week. Sorry if I missed this information somewhere. Kind regards, Skyler Grove.",2026-01-17 19:44,Return/Refund,ORD01080,"I need to return an item Hey, I received the Brook Quilted Vest from order ORD01080, but it does not fit my needs. Please send the return instructions. Please reply this week. Sorry if I missed this information somewhere. Kind regards, Skyler Grove."
EMAIL00086,CUST0264,Tracking update needed,"Could you check the delivery status of ORD00642? The tracking has not changed and I am starting to worry. Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Taylor Briar.",2026-01-02 14:02,Order Status,ORD00642,"Tracking update needed Could you check the delivery status of ORD00642? The tracking has not changed and I am starting to worry. Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Taylor Briar."
EMAIL01616,CUST0206,Complaint about delivery,"My package for ORD00824 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply today. A quick reply would be appreciated. Kind regards, Morgan Cove.",2026-07-07 16:56,Complaint,ORD00824,"Complaint about delivery My package for ORD00824 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply today. A quick reply would be appreciated. Kind regards, Morgan Cove."
EMAIL00409,CUST0195,Refund status,"I returned order ORD00780 and have not received my refund. Can someone check the status for me? Please reply today. Sorry if I missed this information somewhere. Kind regards, Jamie Grove.",2026-04-23 14:12,Return/Refund,ORD00780,"Refund status I returned order ORD00780 and have not received my refund. Can someone check the status for me? Please reply today. Sorry if I missed this information somewhere. Kind regards, Jamie Grove."
EMAIL00946,CUST0195,Checkout error,"Hi, my payment keeps failing when I try to buy the Lumen Gentle Cleanser. The card works everywhere else. Please reply before the weekend. Please let me know what you need from me. Kind regards, Jamie Grove.",2026-07-04 14:53,Payment Issue,ORD00780,"Checkout error Hi, my payment keeps failing when I try to buy the Lumen Gentle Cleanser. The card works everywhere else. Please reply before the weekend. Please let me know what you need from me. Kind regards, Jamie Grove."
EMAIL00342,CUST0260,Refund status,"I returned order ORD00225 and have not received my refund. Can someone check the status for me? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Taylor Juniper.",2026-06-19 17:05,Return/Refund,ORD00225,"Refund status I returned order ORD00225 and have not received my refund. Can someone check the status for me? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Taylor Juniper."
EMAIL01357,CUST0011,Question about Willow Canvas Tote,"Dear support team, could you tell me more about the Willow Canvas Tote? I need the size, material, and care details before ordering. Please reply this week. A quick reply would be appreciated. Kind regards, Quinn Juniper.",2026-02-10 12:23,Product Information,ORD00784,"Question about Willow Canvas Tote Dear support team, could you tell me more about the Willow Canvas Tote? I need the size, material, and care details before ordering. Please reply this week. A quick reply would be appreciated. Kind regards, Quinn Juniper."
EMAIL00759,CUST0276,Cancel order,"I no longer need the Pioneer Canvas Tote. Can you cancel ORD00021 and refund the payment? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Morgan Lark.",2026-02-21 19:55,Cancellation,ORD00021,"Cancel order I no longer need the Pioneer Canvas Tote. Can you cancel ORD00021 and refund the payment? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Morgan Lark."
EMAIL00621,CUST0257,Please cancel my order,"Dear support team, please cancel order ORD00359 before it ships. I made this purchase by mistake. Please reply when you can. A quick reply would be appreciated. Kind regards, Riley Hollow.",2026-02-03 19:38,Cancellation,ORD00359,"Please cancel my order Dear support team, please cancel order ORD00359 before it ships. I made this purchase by mistake. Please reply when you can. A quick reply would be appreciated. Kind regards, Riley Hollow."
EMAIL00107,CUST0276,Where is my order?,"Dear support team, I placed order ORD00873 a few days ago and it still says delivered. Can you tell me when it will arrive? Thanks, Morgan Lark Please reply when you can. Please let me know what you need from me. Kind regards, Morgan Lark.",2026-04-20 20:11,Order Status,ORD00873,"Where is my order? Dear support team, I placed order ORD00873 a few days ago and it still says delivered. Can you tell me when it will arrive? Thanks, Morgan Lark Please reply when you can. Please let me know what you need from me. Kind regards, Morgan Lark."
EMAIL00475,CUST0258,I need to return an item,"Hey, I received the Harbor Insulated Bottle from order ORD00209, but it does not fit my needs. Please send the return instructions. Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Avery Fern.",2026-06-29 18:24,Return/Refund,ORD00209,"I need to return an item Hey, I received the Harbor Insulated Bottle from order ORD00209, but it does not fit my needs. Please send the return instructions. Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Avery Fern."
EMAIL02208,CUST0272,Discount code question,"Do you have a student discount or a promo code I can use for the Harbor Wireless Earbuds? Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Skyler Grove.",2026-08-19 09:07,Other,ORD00040,"Discount code question Do you have a student discount or a promo code I can use for the Harbor Wireless Earbuds? Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Skyler Grove."
EMAIL01651,CUST0124,Poor experience,"I have tried to get help with ORD00014 twice. Still no answer. Really disappointed with the service. Please reply before the weekend. A quick reply would be appreciated. Kind regards, Taylor Juniper.",2026-06-09 16:50,Complaint,ORD00014,"Poor experience I have tried to get help with ORD00014 twice. Still no answer. Really disappointed with the service. Please reply before the weekend. A quick reply would be appreciated. Kind regards, Taylor Juniper."
EMAIL00523,CUST0049,Return request,"The Solace Daily Runner arrived damaged. I would like to return it and receive a refund for ORD01164. Please reply when you can. A quick reply would be appreciated. Kind regards, Jamie Hollow.",2026-03-20 09:23,Return/Refund,ORD01164,"Return request The Solace Daily Runner arrived damaged. I would like to return it and receive a refund for ORD01164. Please reply when you can. A quick reply would be appreciated. Kind regards, Jamie Hollow."
EMAIL01306,CUST0129,Warranty question,"Hi, does the Orbit Insulated Bottle come with a warranty? I could not find the answer on the product page. Please reply before the weekend. A quick reply would be appreciated. Kind regards, Quinn Briar.",2026-02-16 17:42,Product Information,ORD00973,"Warranty question Hi, does the Orbit Insulated Bottle come with a warranty? I could not find the answer on the product page. Please reply before the weekend. A quick reply would be appreciated. Kind regards, Quinn Briar."
EMAIL02128,CUST0212,Discount code question,"Do you have a student discount or a promo code I can use for the Harbor Vitamin C Set? Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Avery Fern.",2026-07-20 16:47,Other,ORD00797,"Discount code question Do you have a student discount or a promo code I can use for the Harbor Vitamin C Set? Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Avery Fern."
