product_id,product_name,category,subcategory,brand,description,price,available_sizes,available_colors,stock_quantity,warranty_period,returnable,product_rating
PRD-034,Coast Denim Jacket,Clothing,Outerwear,Threadline,"The Coast Denim Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",20.95,"XS,S,M,L,XL","Navy, Grey, Red",31,No warranty,Yes,4.8
PRD-035,Sage Denim Jacket,Clothing,Outerwear,Threadline,"The Sage Denim Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",171.52,"XS,S,M,L,XL","White, Beige, Teal",32,No warranty,Yes,3.9
PRD-036,Drift Rain Jacket,Clothing,Outerwear,Threadline,"The Drift Rain Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",43.10,"XS,S,M,L,XL","Navy, Grey, Red",116,No warranty,Yes,4.6
PRD-037,Echo Fleece Hoodie,Clothing,Outerwear,Threadline,"The Echo Fleece Hoodie is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",125.23,"XS,S,M,L,XL","Charcoal, Green, Sand",84,No warranty,Yes,4.1
PRD-038,Terra Rain Jacket,Clothing,Outerwear,Threadline,"The Terra Rain Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",47.30,"XS,S,M,L,XL","Charcoal, Green, Sand",100,No warranty,Yes,4.2
PRD-039,Aster Quilted Vest,Clothing,Outerwear,Threadline,"The Aster Quilted Vest is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",77.02,"XS,S,M,L,XL","Charcoal, Green, Sand",64,No warranty,Yes,4.4
PRD-040,Brook Quilted Vest,Clothing,Outerwear,Threadline,"The Brook Quilted Vest is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",55.91,"XS,S,M,L,XL","Charcoal, Green, Sand",47,No warranty,Yes,4.9
PRD-041,Nimbus Training Shoe,Footwear,Running Shoes,Strideway,"The Nimbus Training Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",164.44,"7,8,9,10,11","Charcoal, Green, Sand",55,No warranty,Yes,4.5
PRD-042,Harbor Training Shoe,Footwear,Running Shoes,Strideway,"The Harbor Training Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",92.79,"7,8,9,10,11","Navy, Grey, Red",107,No warranty,Yes,4.1
PRD-043,Orbit Training Shoe,Footwear,Running Shoes,Strideway,"The Orbit Training Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",174.54,"7,8,9,10,11","Charcoal, Green, Sand",110,No warranty,Yes,4.4
PRD-044,Cedar Walking Shoe,Footwear,Running Shoes,Strideway,"The Cedar Walking Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",26.45,"7,8,9,10,11","White, Beige, Teal",119,No warranty,Yes,4.1
PRD-045,Solace Daily Runner,Footwear,Running Shoes,Strideway,"The Solace Daily Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",133.25,"7,8,9,10,11","Black, Blue, White",44,No warranty,Yes,3.7
PRD-046,Nova Trail Runner,Footwear,Running Shoes,Strideway,"The Nova Trail Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",62.19,"7,8,9,10,11","Charcoal, Green, Sand",114,No warranty,Yes,4.2
PRD-047,Pioneer Trail Runner,Footwear,Running Shoes,Strideway,"The Pioneer Trail Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",150.31,"7,8,9,10,11","Navy, Grey, Red",11,No warranty,Yes,4.1
PRD-048,Atlas Training Shoe,Footwear,Running Shoes,Strideway,"The Atlas Training Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",99.33,"7,8,9,10,11","Charcoal, Green, Sand",57,No warranty,Yes,4.9
PRD-049,Willow Walking Shoe,Footwear,Running Shoes,Strideway,"The Willow Walking Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",54.38,"7,8,9,10,11","Navy, Grey, Red",20,No warranty,Yes,4.7
PRD-050,Lumen Walking Shoe,Footwear,Running Shoes,Strideway,"The Lumen Walking Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",146.20,"7,8,9,10,11","Charcoal, Green, Sand",12,No warranty,Yes,4.0
PRD-051,Summit Training Shoe,Footwear,Running Shoes,Strideway,"The Summit Training Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",130.76,"7,8,9,10,11","Charcoal, Green, Sand",105,No warranty,Yes,4.5
PRD-052,Meadow Training Shoe,Footwear,Running Shoes,Strideway,"The Meadow Training Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",117.69,"7,8,9,10,11","Black, Blue, White",10,No warranty,Yes,3.9
PRD-053,Ember Trail Runner,Footwear,Running Shoes,Strideway,"The Ember Trail Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",106.91,"7,8,9,10,11","White, Beige, Teal",22,No warranty,Yes,4.6
PRD-054,Coast Trail Runner,Footwear,Running Shoes,Strideway,"The Coast Trail Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",66.79,"7,8,9,10,11","Black, Blue, White",38,No warranty,Yes,4.1
PRD-055,Sage Training Shoe,Footwear,Running Shoes,Strideway,"The Sage Training Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",28.17,"7,8,9,10,11","White, Beige, Teal",84,No warranty,Yes,4.3
PRD-056,Drift Trail Runner,Footwear,Running Shoes,Strideway,"The Drift Trail Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",134.40,"7,8,9,10,11","Navy, Grey, Red",62,No warranty,Yes,3.6
PRD-057,Echo Walking Shoe,Footwear,Running Shoes,Strideway,"The Echo Walking Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",56.97,"7,8,9,10,11","White, Beige, Teal",31,No warranty,Yes,4.5
PRD-058,Terra Daily Runner,Footwear,Running Shoes,Strideway,"The Terra Daily Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",102.80,"7,8,9,10,11","Navy, Grey, Red",16,No warranty,Yes,4.8
PRD-059,Aster Daily Runner,Footwear,Running Shoes,Strideway,"The Aster Daily Runner is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",81.25,"7,8,9,10,11","White, Beige, Teal",13,No warranty,Yes,4.4
PRD-060,Brook Walking Shoe,Footwear,Running Shoes,Strideway,"The Brook Walking Shoe is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",59.09,"7,8,9,10,11","Black, Blue, White",53,No warranty,Yes,4.6
PRD-061,Nimbus Electric Kettle,Home Appliances,Small Appliances,Hearthwise,"The Nimbus Electric Kettle is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",57.06,,"Black, Blue, White",106,2 years,Yes,4.6
PRD-062,Harbor Electric Kettle,Home Appliances,Small Appliances,Hearthwise,"The Harbor Electric Kettle is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",39.61,,"Navy, Grey, Red",77,1 year,Yes,4.7
PRD-063,Orbit Air Fryer,Home Appliances,Small Appliances,Hearthwise,"The Orbit Air Fryer is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",152.52,,"White, Beige, Teal",97,1 year,Yes,4.4
PRD-064,Cedar Air Fryer,Home Appliances,Small Appliances,Hearthwise,"The Cedar Air Fryer is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",28.22,,"White, Beige, Teal",12,1 year,Yes,3.9
PRD-065,Solace Air Fryer,Home Appliances,Small Appliances,Hearthwise,"The Solace Air Fryer is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",161.50,,"Navy, Grey, Red",47,2 years,Yes,4.1
PRD-066,Nova Coffee Grinder,Home Appliances,Small Appliances,Hearthwise,"The Nova Coffee Grinder is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",59.04,,"Charcoal, Green, Sand",44,1 year,Yes,4.7
PRD-067,Pioneer Compact Blender,Home Appliances,Small Appliances,Hearthwise,"The Pioneer Compact Blender is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",158.26,,"Navy, Grey, Red",42,6 months,Yes,4.6
PRD-068,Atlas Coffee Grinder,Home Appliances,Small Appliances,Hearthwise,"The Atlas Coffee Grinder is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",162.10,,"White, Beige, Teal",57,1 year,Yes,4.9
PRD-069,Willow Coffee Grinder,Home Appliances,Small Appliances,Hearthwise,"The Willow Coffee Grinder is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",130.12,,"Navy, Grey, Red",110,2 years,Yes,3.9
PRD-070,Lumen Compact Blender,Home Appliances,Small Appliances,Hearthwise,"The Lumen Compact Blender is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",135.79,,"Black, Blue, White",63,2 years,Yes,4.9
PRD-071,Summit Air Fryer,Home Appliances,Small Appliances,Hearthwise,"The Summit Air Fryer is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",106.37,,"Navy, Grey, Red",21,6 months,Yes,4.0
PRD-072,Meadow Electric Kettle,Home Appliances,Small Appliances,Hearthwise,"The Meadow Electric Kettle is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",67.65,,"White, Beige, Teal",29,2 years,Yes,4.2
PRD-073,Ember Coffee Grinder,Home Appliances,Small Appliances,Hearthwise,"The Ember Coffee Grinder is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",24.86,,"Navy, Grey, Red",86,1 year,Yes,4.0
PRD-074,Coast Compact Blender,Home Appliances,Small Appliances,Hearthwise,"The Coast Compact Blender is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",30.16,,"White, Beige, Teal",54,2 years,Yes,4.6
PRD-075,Sage Air Fryer,Home Appliances,Small Appliances,Hearthwise,"The Sage Air Fryer is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",172.35,,"Charcoal, Green, Sand",116,2 years,Yes,4.5
PRD-076,Drift Coffee Grinder,Home Appliances,Small Appliances,Hearthwise,"The Drift Coffee Grinder is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",23.64,,"Black, Blue, White",38,2 years,Yes,4.1
PRD-077,Echo Coffee Grinder,Home Appliances,Small Appliances,Hearthwise,"The Echo Coffee Grinder is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",171.81,,"Black, Blue, White",85,6 months,Yes,4.5
PRD-078,Terra Electric Kettle,Home Appliances,Small Appliances,Hearthwise,"The Terra Electric Kettle is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",78.27,,"Black, Blue, White",81,6 months,Yes,4.3
PRD-079,Aster Coffee Grinder,Home Appliances,Small Appliances,Hearthwise,"The Aster Coffee Grinder is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",68.93,,"Navy, Grey, Red",39,6 months,Yes,3.6
PRD-080,Brook Air Fryer,Home Appliances,Small Appliances,Hearthwise,"The Brook Air Fryer is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",98.85,,"White, Beige, Teal",79,6 months,Yes,3.9
PRD-081,Nimbus Night Cream,Beauty,Skin Care,Lumina,"The Nimbus Night Cream is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",132.05,,"Charcoal, Green, Sand",86,No warranty,Yes,4.0
PRD-082,Harbor Vitamin C Set,Beauty,Skin Care,Lumina,"The Harbor Vitamin C Set is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",50.43,,"Charcoal, Green, Sand",117,No warranty,Yes,3.7
PRD-083,Orbit Gentle Cleanser,Beauty,Skin Care,Lumina,"The Orbit Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",163.59,,"White, Beige, Teal",19,No warranty,Yes,4.7
PRD-084,Cedar Night Cream,Beauty,Skin Care,Lumina,"The Cedar Night Cream is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",126.19,,"Black, Blue, White",78,No warranty,Yes,4.3
PRD-085,Solace Night Cream,Beauty,Skin Care,Lumina,"The Solace Night Cream is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",155.92,,"Charcoal, Green, Sand",109,No warranty,Yes,4.1
PRD-086,Nova Gentle Cleanser,Beauty,Skin Care,Lumina,"The Nova Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",37.66,,"Charcoal, Green, Sand",109,No warranty,Yes,3.8
PRD-087,Pioneer Vitamin C Set,Beauty,Skin Care,Lumina,"The Pioneer Vitamin C Set is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",22.26,,"Navy, Grey, Red",67,No warranty,Yes,4.6
PRD-088,Atlas Gentle Cleanser,Beauty,Skin Care,Lumina,"The Atlas Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",117.14,,"Black, Blue, White",16,No warranty,Yes,4.0
PRD-089,Willow Vitamin C Set,Beauty,Skin Care,Lumina,"The Willow Vitamin C Set is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",103.16,,"White, Beige, Teal",113,No warranty,Yes,4.3
PRD-090,Lumen Gentle Cleanser,Beauty,Skin Care,Lumina,"The Lumen Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",175.53,,"Black, Blue, White",65,No warranty,Yes,4.2
PRD-091,Summit Night Cream,Beauty,Skin Care,Lumina,"The Summit Night Cream is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",38.79,,"Charcoal, Green, Sand",106,No warranty,Yes,4.9
PRD-092,Meadow Vitamin C Set,Beauty,Skin Care,Lumina,"The Meadow Vitamin C Set is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",99.46,,"Black, Blue, White",114,No warranty,Yes,3.8
PRD-093,Ember Gentle Cleanser,Beauty,Skin Care,Lumina,"The Ember Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",67.27,,"Charcoal, Green, Sand",49,No warranty,Yes,4.8
PRD-094,Coast Gentle Cleanser,Beauty,Skin Care,Lumina,"The Coast Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",74.06,,"Navy, Grey, Red",116,No warranty,Yes,3.7
PRD-095,Sage Gentle Cleanser,Beauty,Skin Care,Lumina,"The Sage Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",120.88,,"Navy, Grey, Red",24,No warranty,Yes,4.4
PRD-096,Drift Hydrating Serum,Beauty,Skin Care,Lumina,"The Drift Hydrating Serum is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",99.42,,"Charcoal, Green, Sand",83,No warranty,Yes,4.8
PRD-097,Echo Gentle Cleanser,Beauty,Skin Care,Lumina,"The Echo Gentle Cleanser is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",45.73,,"Navy, Grey, Red",115,No warranty,Yes,4.8
PRD-098,Terra Hydrating Serum,Beauty,Skin Care,Lumina,"The Terra Hydrating Serum is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",151.69,,"Black, Blue, White",18,No warranty,Yes,3.7
PRD-099,Aster Night Cream,Beauty,Skin Care,Lumina,"The Aster Night Cream is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",123.48,,"White, Beige, Teal",87,No warranty,Yes,4.4
PRD-100,Brook Vitamin C Set,Beauty,Skin Care,Lumina,"The Brook Vitamin C Set is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",162.02,,"Navy, Grey, Red",90,No warranty,Yes,4.8
PRD-101,Nimbus Canvas Tote,Accessories,Bags,Wayfinder,"The Nimbus Canvas Tote is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",57.67,,"White, Beige, Teal",46,No warranty,Yes,4.2
PRD-102,Harbor Travel Backpack,Accessories,Bags,Wayfinder,"The Harbor Travel Backpack is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",43.61,,"White, Beige, Teal",69,No warranty,Yes,4.2
PRD-103,Orbit Laptop Sleeve,Accessories,Bags,Wayfinder,"The Orbit Laptop Sleeve is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",116.28,,"Navy, Grey, Red",118,No warranty,Yes,4.5
PRD-104,Cedar Laptop Sleeve,Accessories,Bags,Wayfinder,"The Cedar Laptop Sleeve is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",176.01,,"Charcoal, Green, Sand",105,No warranty,Yes,4.1
PRD-105,Solace Travel Backpack,Accessories,Bags,Wayfinder,"The Solace Travel Backpack is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",69.70,,"White, Beige, Teal",23,No warranty,Yes,3.9
PRD-106,Nova Crossbody Bag,Accessories,Bags,Wayfinder,"The Nova Crossbody Bag is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",40.82,,"Black, Blue, White",45,No warranty,Yes,4.8
PRD-107,Pioneer Canvas Tote,Accessories,Bags,Wayfinder,"The Pioneer Canvas Tote is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",58.22,,"Charcoal, Green, Sand",112,No warranty,Yes,4.0
PRD-108,Atlas Laptop Sleeve,Accessories,Bags,Wayfinder,"The Atlas Laptop Sleeve is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",48.75,,"Charcoal, Green, Sand",71,No warranty,Yes,4.9
PRD-109,Willow Canvas Tote,Accessories,Bags,Wayfinder,"The Willow Canvas Tote is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",98.80,,"Navy, Grey, Red",71,No warranty,Yes,3.6
PRD-110,Lumen Canvas Tote,Accessories,Bags,Wayfinder,"The Lumen Canvas Tote is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",99.88,,"Charcoal, Green, Sand",35,No warranty,Yes,4.4
PRD-111,Summit Travel Backpack,Accessories,Bags,Wayfinder,"The Summit Travel Backpack is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",26.19,,"White, Beige, Teal",84,No warranty,Yes,4.7
PRD-112,Meadow Canvas Tote,Accessories,Bags,Wayfinder,"The Meadow Canvas Tote is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",64.29,,"Black, Blue, White",116,No warranty,Yes,3.7
PRD-113,Ember Crossbody Bag,Accessories,Bags,Wayfinder,"The Ember Crossbody Bag is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",160.96,,"Navy, Grey, Red",105,No warranty,Yes,4.1
PRD-114,Coast Travel Backpack,Accessories,Bags,Wayfinder,"The Coast Travel Backpack is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",82.89,,"Charcoal, Green, Sand",54,No warranty,Yes,4.3
PRD-115,Sage Travel Backpack,Accessories,Bags,Wayfinder,"The Sage Travel Backpack is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",80.59,,"White, Beige, Teal",105,No warranty,Yes,4.3
PRD-116,Drift Travel Backpack,Accessories,Bags,Wayfinder,"The Drift Travel Backpack is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",38.84,,"Black, Blue, White",58,No warranty,Yes,4.1
PRD-117,Echo Laptop Sleeve,Accessories,Bags,Wayfinder,"The Echo Laptop Sleeve is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",108.37,,"Navy, Grey, Red",104,No warranty,Yes,3.8
PRD-118,Terra Canvas Tote,Accessories,Bags,Wayfinder,"The Terra Canvas Tote is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",99.01,,"Black, Blue, White",12,No warranty,Yes,3.8
PRD-119,Aster Laptop Sleeve,Accessories,Bags,Wayfinder,"The Aster Laptop Sleeve is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",148.24,,"White, Beige, Teal",27,No warranty,Yes,4.4
PRD-120,Brook Crossbody Bag,Accessories,Bags,Wayfinder,"The Brook Crossbody Bag is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",71.13,,"Navy, Grey, Red",28,No warranty,Yes,4.1
PRD-121,Nimbus Foam Roller,Sports,Fitness,Peakform,"The Nimbus Foam Roller is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",114.18,,"White, Beige, Teal",98,No warranty,Yes,4.3
PRD-122,Harbor Insulated Bottle,Sports,Fitness,Peakform,"The Harbor Insulated Bottle is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",150.15,,"Navy, Grey, Red",50,No warranty,Yes,4.5
